i   j
1 - 0
1 - 1
2 - 1
3 - 1
4 - 1
4 - 2
5 - 2
6 - 2
7 - 2
7 - 3
8 - 3
8 - 4
9 - 4
9 - 5
10 - 5
11 - 5
11 - 6
12 - 6
12 - 7
13 - 7
13 - 8
14 - 8
14 - 9
15 - 9
16 - 9
17 - 9
18 - 9
17 - 9
16 - 9
16 - 10
16 - 11
17 - 11
16 - 11
16 - 12
16 - 13
17 - 13
18 - 13
17 - 13
17 - 14
17 - 13
16 - 13
15 - 13
15 - 14
15 - 15
16 - 15
16 - 16
16 - 17
17 - 17
17 - 18
18 - 18
18 - 19
