i   j
0 - 0
1 - 0
2 - 0
3 - 0
4 - 0
5 - 0
6 - 0
7 - 0
8 - 0
9 - 0
10 - 0
11 - 0
12 - 0
13 - 0
13 - 1
13 - 2
13 - 3
14 - 3
15 - 3
16 - 3
17 - 3
18 - 3
19 - 3
18 - 3
18 - 4
18 - 5
19 - 5
19 - 6
19 - 7
19 - 8
19 - 9
19 - 10
19 - 11
19 - 12
19 - 13
19 - 14
18 - 14
18 - 15
18 - 16
19 - 16
19 - 17
19 - 18
19 - 19
